"Cells"	"Patients"
"G1_P2_M8_L001"	"P6"
"G3_P2_M8_L001"	"P6"
"G6_P1_M8_L001"	"P6"
"G8_P4_M8_L001"	"P6"
"H12_P1_M8_L001"	"P6"
"H1_P2_M8_L001"	"P6"
"H1_P3_M8_L001"	"P6"
"H5_P4_M8_L001"	"P6"
"H8_P1_M8_L001"	"P6"
"A10_P1_M66_L001"	"P12"
"A11_P1_M66_L001"	"P12"
"A12_P4_M66_L001"	"P12"
"A12_P5_M66_L001"	"P12"
"A2_P1_M66_L001"	"P12"
"A2_P4_M66_L001"	"P12"
"A2_P5_M66_L001"	"P12"
"A3_P1_M66_L001"	"P12"
"A3_P4_M66_L001"	"P12"
"A4_P2_M66_L001"	"P12"
"A4_P4_M66_L001"	"P12"
"A5_P1_M66_L001"	"P12"
"A5_P2_M66_L001"	"P12"
"A5_P4_M66_L001"	"P12"
"A5_P5_M66_L001"	"P12"
"A6_P2_M66_L001"	"P12"
"A6_P5_M66_L001"	"P12"
"A7_P1_M66_L001"	"P12"
"A7_P2_M66_L001"	"P12"
"A7_P4_M66_L001"	"P12"
"A8_P2_M66_L001"	"P12"
"A8_P4_M66_L001"	"P12"
"A9_P4_M66_L001"	"P12"
"B10_P2_M66_L001"	"P12"
"B11_P2_M66_L001"	"P12"
"B11_P4_M66_L001"	"P12"
"B11_P5_M66_L001"	"P12"
"B12_P1_M66_L001"	"P12"
"B12_P4_M66_L001"	"P12"
"B12_P5_M66_L001"	"P12"
"B1_P5_M66_L001"	"P12"
"B2_P1_M66_L001"	"P12"
"B2_P4_M66_L001"	"P12"
"B2_P5_M66_L001"	"P12"
"B3_P1_M66_L001"	"P12"
"B3_P4_M66_L001"	"P12"
"B3_P5_M66_L001"	"P12"
"B4_P2_M66_L001"	"P12"
"B4_P5_M66_L001"	"P12"
"B5_P2_M66_L001"	"P12"
"B6_P1_M66_L001"	"P12"
"B6_P2_M66_L001"	"P12"
"B6_P5_M66_L001"	"P12"
"B7_P2_M66_L001"	"P12"
"B8_P4_M66_L001"	"P12"
"B9_P1_M66_L001"	"P12"
"B9_P4_M66_L001"	"P12"
"B9_P5_M66_L001"	"P12"
"C10_P1_M66_L001"	"P12"
"C10_P4_M66_L001"	"P12"
"C10_P5_M66_L001"	"P12"
"C11_P1_M66_L001"	"P12"
"C11_P2_M66_L001"	"P12"
"C11_P5_M66_L001"	"P12"
"C12_P4_M66_L001"	"P12"
"C1_P5_M66_L001"	"P12"
"C2_P1_M66_L001"	"P12"
"C2_P2_M66_L001"	"P12"
"C3_P1_M66_L001"	"P12"
"C3_P4_M66_L001"	"P12"
"C4_P2_M66_L001"	"P12"
