"Cells"	"Patients"
"D5_P3_M39"	"P2"
"D6_P1_M39"	"P2"
"D6_P2_M39"	"P2"
"D7_P1_M39"	"P2"
"D7_P2_M39"	"P2"
"D7_P4_M39"	"P2"
"D8_P1_M39"	"P2"
"D8_P3_M39"	"P2"
"D9_P1_M39"	"P2"
"D9_P2_M39"	"P2"
"D9_P4_M39"	"P2"
"E10_P1_M39"	"P2"
"E10_P2_M39"	"P2"
"E10_P3_M39"	"P2"
"E10_P4_M39"	"P2"
"E11_P2_M39"	"P2"
"E11_P3_M39"	"P2"
"E12_P3_M39"	"P2"
"E12_P4_M39"	"P2"
"E1_P1_M39"	"P2"
"E1_P3_M39"	"P2"
"E1_P4_M39"	"P2"
"E2_P1_M39"	"P2"
"E2_P3_M39"	"P2"
"E2_P4_M39"	"P2"
"E3_P3_M39"	"P2"
"E4_P1_M39"	"P2"
"E4_P2_M39"	"P2"
"E5_P2_M39"	"P2"
"E5_P4_M39"	"P2"
"E6_P1_M39"	"P2"
"E7_P1_M39"	"P2"
"E7_P2_M39"	"P2"
"E8_P1_M39"	"P2"
"E8_P2_M39"	"P2"
"E8_P3_M39"	"P2"
"E9_P2_M39"	"P2"
"E9_P4_M39"	"P2"
"F10_P1_M39"	"P2"
"F10_P2_M39"	"P2"
"F10_P3_M39"	"P2"
"F11_P1_M39"	"P2"
"F11_P3_M39"	"P2"
"F11_P4_M39"	"P2"
"F12_P2_M39"	"P2"
"F12_P4_M39"	"P2"
"F1_P1_M39"	"P2"
"F1_P2_M39"	"P2"
"F1_P4_M39"	"P2"
"F2_P2_M39"	"P2"
"F2_P3_M39"	"P2"
"F3_P1_M39"	"P2"
"F3_P2_M39"	"P2"
"F3_P4_M39"	"P2"
"F4_P1_M39"	"P2"
"F4_P2_M39"	"P2"
"F4_P3_M39"	"P2"
"F4_P4_M39"	"P2"
"F5_P2_M39"	"P2"
"F6_P1_M39"	"P2"
"F6_P4_M39"	"P2"
"F7_P1_M39"	"P2"
"F7_P2_M39"	"P2"
"F7_P4_M39"	"P2"
"F8_P1_M39"	"P2"
"F8_P2_M39"	"P2"
"F9_P1_M39"	"P2"
"F9_P2_M39"	"P2"
"G10_P2_M39"	"P2"
"G10_P3_M39"	"P2"
"G11_P1_M39"	"P2"
"G11_P2_M39"	"P2"
"G11_P3_M39"	"P2"
"G11_P4_M39"	"P2"
"G12_P1_M39"	"P2"
"G12_P2_M39"	"P2"
"G12_P3_M39"	"P2"
"G1_P2_M39"	"P2"
"G1_P3_M39"	"P2"
"G1_P4_M39"	"P2"
"G2_P2_M39"	"P2"
"G2_P3_M39"	"P2"
"G4_P2_M39"	"P2"
"G4_P3_M39"	"P2"
"G5_P2_M39"	"P2"
"G6_P1_M39"	"P2"
"G6_P2_M39"	"P2"
"G7_P1_M39"	"P2"
"G7_P2_M39"	"P2"
"G7_P3_M39"	"P2"
"G8_P1_M39"	"P2"
"G8_P2_M39"	"P2"
"G8_P3_M39"	"P2"
"G9_P2_M39"	"P2"
"G9_P3_M39"	"P2"
"G9_P4_M39"	"P2"
"H10_P1_M39"	"P2"
"H10_P2_M39"	"P2"
"H10_P3_M39"	"P2"
"H11_P2_M39"	"P2"
"H11_P3_M39"	"P2"
"H11_P4_M39"	"P2"
"H12_P1_M39"	"P2"
"H12_P2_M39"	"P2"
"H1_P2_M39"	"P2"
"H1_P3_M39"	"P2"
"H1_P4_M39"	"P2"
"H2_P2_M39"	"P2"
"H3_P1_M39"	"P2"
"H3_P2_M39"	"P2"
"H3_P3_M39"	"P2"
"H3_P4_M39"	"P2"
"H4_P2_M39"	"P2"
"H4_P3_M39"	"P2"
"H4_P4_M39"	"P2"
"H5_P1_M39"	"P2"
"H5_P2_M39"	"P2"
"H5_P3_M39"	"P2"
"H5_P4_M39"	"P2"
"H6_P2_M39"	"P2"
"H6_P4_M39"	"P2"
"H7_P1_M39"	"P2"
"H7_P2_M39"	"P2"
"H7_P3_M39"	"P2"
"H8_P1_M39"	"P2"
"H8_P2_M39"	"P2"
"H8_P3_M39"	"P2"
"H9_P1_M39"	"P2"
"H9_P2_M39"	"P2"
"H9_P4_M39"	"P2"
"A10_P3_M23"	"P3"
"A10_P4_M23"	"P3"
"A11_P1_M23"	"P3"
"A11_P2_M23"	"P3"
"A11_P4_M23"	"P3"
"A12_P1_M23"	"P3"
"A4_P2_M23"	"P3"
"A4_P4_M23"	"P3"
"A5_P2_M23"	"P3"
"A6_P1_M23"	"P3"
"A6_P3_M23"	"P3"
"A6_P4_M23"	"P3"
"A7_P1_M23"	"P3"
"A8_P1_M23"	"P3"
"A8_P2_M23"	"P3"
"A8_P3_M23"	"P3"
"A8_P4_M23"	"P3"
"A9_P3_M23"	"P3"
"A9_P4_M23"	"P3"
"B10_P4_M23"	"P3"
"B11_P4_M23"	"P3"
"B12_P1_M23"	"P3"
"B12_P2_M23"	"P3"
"B12_P3_M23"	"P3"
"B1_P2_M23"	"P3"
"B1_P4_M23"	"P3"
"B3_P4_M23"	"P3"
"B4_P2_M23"	"P3"
"B5_P1_M23"	"P3"
"B5_P4_M23"	"P3"
"B6_P3_M23"	"P3"
"B7_P4_M23"	"P3"
"B8_P2_M23"	"P3"
"B9_P1_M23"	"P3"
"B9_P2_M23"	"P3"
"B9_P3_M23"	"P3"
"C10_P1_M23"	"P3"
"C10_P2_M23"	"P3"
"C10_P3_M23"	"P3"
"C10_P4_M23"	"P3"
"C11_P2_M23"	"P3"
"C12_P1_M23"	"P3"
"C12_P2_M23"	"P3"
"C12_P4_M23"	"P3"
"C1_P1_M23"	"P3"
"C1_P4_M23"	"P3"
"C2_P1_M23"	"P3"
"C3_P2_M23"	"P3"
"C3_P3_M23"	"P3"
"C4_P3_M23"	"P3"
"C5_P3_M23"	"P3"
"C5_P4_M23"	"P3"
"C6_P2_M23"	"P3"
"C6_P4_M23"	"P3"
"C7_P2_M23"	"P3"
"C8_P1_M23"	"P3"
"C8_P2_M23"	"P3"
"C9_P1_M23"	"P3"
"D10_P1_M23"	"P3"
"D10_P2_M23"	"P3"
"D10_P4_M23"	"P3"
"D11_P1_M23"	"P3"
"D11_P4_M23"	"P3"
"D12_P3_M23"	"P3"
"D1_P1_M23"	"P3"
"D1_P2_M23"	"P3"
"D1_P3_M23"	"P3"
"D1_P4_M23"	"P3"
"D2_P1_M23"	"P3"
"D2_P3_M23"	"P3"
"D3_P2_M23"	"P3"
"D3_P4_M23"	"P3"
"D4_P4_M23"	"P3"
"D6_P1_M23"	"P3"
"D6_P2_M23"	"P3"
"D7_P2_M23"	"P3"
"D8_P2_M23"	"P3"
"D8_P3_M23"	"P3"
"D8_P4_M23"	"P3"
"D9_P1_M23"	"P3"
"D9_P3_M23"	"P3"
"D9_P4_M23"	"P3"
"E10_P1_M23"	"P3"
"E10_P2_M23"	"P3"
"E10_P4_M23"	"P3"
"E12_P1_M23"	"P3"
"E12_P3_M23"	"P3"
"E12_P4_M23"	"P3"
"E3_P4_M23"	"P3"
"E4_P2_M23"	"P3"
"E4_P4_M23"	"P3"
"E5_P1_M23"	"P3"
"E5_P3_M23"	"P3"
"E5_P4_M23"	"P3"
"E6_P1_M23"	"P3"
"E6_P2_M23"	"P3"
"E6_P3_M23"	"P3"
"E7_P1_M23"	"P3"
"E7_P3_M23"	"P3"
"E7_P4_M23"	"P3"
"E9_P3_M23"	"P3"
"F10_P1_M23"	"P3"
"F10_P3_M23"	"P3"
"F11_P1_M23"	"P3"
"F12_P1_M23"	"P3"
"F1_P1_M23"	"P3"
"F2_P1_M23"	"P3"
"F2_P3_M23"	"P3"
"F4_P1_M23"	"P3"
"F4_P2_M23"	"P3"
"F4_P4_M23"	"P3"
"F5_P1_M23"	"P3"
"F5_P2_M23"	"P3"
"F5_P3_M23"	"P3"
"F6_P4_M23"	"P3"
"F7_P2_M23"	"P3"
"F7_P4_M23"	"P3"
"F8_P1_M23"	"P3"
"F8_P2_M23"	"P3"
"F8_P4_M23"	"P3"
"F9_P1_M23"	"P3"
"F9_P4_M23"	"P3"
"G10_P3_M23"	"P3"
"G10_P4_M23"	"P3"
"G1_P4_M23"	"P3"
"G2_P2_M23"	"P3"
"G2_P3_M23"	"P3"
"G3_P2_M23"	"P3"
"G3_P3_M23"	"P3"
"G3_P4_M23"	"P3"
"G4_P1_M23"	"P3"
"G4_P2_M23"	"P3"
"G5_P1_M23"	"P3"
"G5_P2_M23"	"P3"
"G5_P3_M23"	"P3"
"G7_P1_M23"	"P3"
"G7_P4_M23"	"P3"
"G9_P2_M23"	"P3"
"G9_P3_M23"	"P3"
"H10_P1_M23"	"P3"
"H10_P2_M23"	"P3"
"H10_P4_M23"	"P3"
"H11_P1_M23"	"P3"
"H11_P2_M23"	"P3"
"H11_P3_M23"	"P3"
"H1_P2_M23"	"P3"
"H1_P4_M23"	"P3"
"H2_P2_M23"	"P3"
"H3_P4_M23"	"P3"
"H4_P1_M23"	"P3"
"H5_P3_M23"	"P3"
"H7_P3_M23"	"P3"
"H7_P4_M23"	"P3"
"H8_P2_M23"	"P3"
"H8_P3_M23"	"P3"
"H9_P1_M23"	"P3"
"H9_P3_M23"	"P3"
"A10_P8_M36_L001"	"P3"
"A10_P9_M36_L001"	"P3"
"A11_P7_M36_L001"	"P3"
"A11_P8_M36_L001"	"P3"
"A11_P9_M36_L001"	"P3"
"A12_P8_M36_L001"	"P3"
"A12_P9_M36_L001"	"P3"
"A2_P7_M36_L001"	"P3"
"A3_P8_M36_L001"	"P3"
"A3_P9_M36_L001"	"P3"
"A4_P6_M36_L001"	"P3"
"A4_P7_M36_L001"	"P3"
"A4_P8_M36_L001"	"P3"
"A4_P9_M36_L001"	"P3"
"A5_P8_M36_L001"	"P3"
"A5_P9_M36_L001"	"P3"
"A7_P6_M36_L001"	"P3"
"A7_P8_M36_L001"	"P3"
"A7_P9_M36_L001"	"P3"
"A8_P7_M36_L001"	"P3"
"A8_P8_M36_L001"	"P3"
"A8_P9_M36_L001"	"P3"
"A9_P6_M36_L001"	"P3"
"A9_P7_M36_L001"	"P3"
"A9_P8_M36_L001"	"P3"
"A9_P9_M36_L001"	"P3"
"B10_P6_M36_L001"	"P3"
"B10_P7_M36_L001"	"P3"
"B10_P8_M36_L001"	"P3"
"B11_P7_M36_L001"	"P3"
"B11_P8_M36_L001"	"P3"
"B11_P9_M36_L001"	"P3"
"B12_P6_M36_L001"	"P3"
"B12_P8_M36_L001"	"P3"
"B12_P9_M36_L001"	"P3"
"B1_P6_M36_L001"	"P3"
"B1_P7_M36_L001"	"P3"
"B1_P8_M36_L001"	"P3"
"B2_P7_M36_L001"	"P3"
"B2_P9_M36_L001"	"P3"
"B3_P6_M36_L001"	"P3"
"B3_P7_M36_L001"	"P3"
"B3_P9_M36_L001"	"P3"
"B4_P7_M36_L001"	"P3"
"B4_P9_M36_L001"	"P3"
"B6_P6_M36_L001"	"P3"
"B6_P7_M36_L001"	"P3"
"B6_P8_M36_L001"	"P3"
"B6_P9_M36_L001"	"P3"
"B7_P6_M36_L001"	"P3"
"B7_P8_M36_L001"	"P3"
"B7_P9_M36_L001"	"P3"
"B8_P7_M36_L001"	"P3"
"B8_P8_M36_L001"	"P3"
"B8_P9_M36_L001"	"P3"
"B9_P7_M36_L001"	"P3"
"B9_P8_M36_L001"	"P3"
"B9_P9_M36_L001"	"P3"
"C10_P8_M36_L001"	"P3"
"C10_P9_M36_L001"	"P3"
"C11_P6_M36_L001"	"P3"
"C11_P8_M36_L001"	"P3"
"C11_P9_M36_L001"	"P3"
"C12_P6_M36_L001"	"P3"
"C12_P7_M36_L001"	"P3"
"C12_P8_M36_L001"	"P3"
"C1_P6_M36_L001"	"P3"
"C1_P7_M36_L001"	"P3"
"C1_P9_M36_L001"	"P3"
"C3_P7_M36_L001"	"P3"
"C3_P8_M36_L001"	"P3"
"C3_P9_M36_L001"	"P3"
"C4_P7_M36_L001"	"P3"
"C4_P9_M36_L001"	"P3"
"C5_P7_M36_L001"	"P3"
