Cells	Patients
G7_P4_MMD1.84B_L001	P5
G8_P2_MMD1.84B_L001	P5
G8_P3_MMD1.84B_L001	P5
G8_P4_MMD1.84B_L001	P5
G9_P2_MMD1.84B_L001	P5
G9_P3_MMD1.84B_L001	P5
G9_P4_MMD1.84B_L001	P5
H10_P1_MMD1.84B_L001	P5
H10_P2_MMD1.84B_L001	P5
H10_P4_MMD1.84B_L001	P5
H11_P1_MMD1.84B_L001	P5
H11_P2_MMD1.84B_L001	P5
H11_P3_MMD1.84B_L001	P5
H11_P4_MMD1.84B_L001	P5
H12_P1_MMD1.84B_L001	P5
H12_P2_MMD1.84B_L001	P5
H12_P3_MMD1.84B_L001	P5
H12_P4_MMD1.84B_L001	P5
H1_P1_MMD1.84B_L001	P5
H1_P2_MMD1.84B_L001	P5
H1_P3_MMD1.84B_L001	P5
H2_P2_MMD1.84B_L001	P5
H2_P4_MMD1.84B_L001	P5
H3_P1_MMD1.84B_L001	P5
H3_P2_MMD1.84B_L001	P5
H3_P3_MMD1.84B_L001	P5
H4_P2_MMD1.84B_L001	P5
H4_P3_MMD1.84B_L001	P5
H5_P2_MMD1.84B_L001	P5
H5_P3_MMD1.84B_L001	P5
H6_P1_MMD1.84B_L001	P5
H6_P2_MMD1.84B_L001	P5
H6_P3_MMD1.84B_L001	P5
H7_P1_MMD1.84B_L001	P5
H7_P2_MMD1.84B_L001	P5
H7_P4_MMD1.84B_L001	P5
H8_P2_MMD1.84B_L001	P5
H8_P3_MMD1.84B_L001	P5
H8_P4_MMD1.84B_L001	P5
H9_P1_MMD1.84B_L001	P5
H9_P2_MMD1.84B_L001	P5
H9_P3_MMD1.84B_L001	P5
H9_P4_MMD1.84B_L001	P5
A10_P7_M63.B1	P7
A10_P8_M63.B1	P7
A11_P6_M63.B1	P7
A11_P8_M63.B1	P7
A12_P7_M63.B1	P7
A12_P8_M63.B1	P7
A2_P6_M63.B1	P7
A2_P8_M63.B1	P7
A2_P9_M63.B1	P7
A3_P7_M63.B1	P7
A3_P8_M63.B1	P7
A4_P6_M63.B1	P7
A4_P7_M63.B1	P7
A4_P8_M63.B1	P7
A5_P6_M63.B1	P7
A5_P8_M63.B1	P7
A7_P9_M63.B1	P7
A9_P6_M63.B1	P7
A9_P9_M63.B1	P7
B11_P8_M63.B1	P7
B12_P8_M63.B1	P7
B12_P9_M63.B1	P7
B1_P9_M63.B1	P7
B2_P8_M63.B1	P7
B3_P6_M63.B1	P7
B4_P6_M63.B1	P7
B4_P8_M63.B1	P7
B4_P9_M63.B1	P7
B5_P6_M63.B1	P7
B5_P8_M63.B1	P7
B5_P9_M63.B1	P7
